Time,Voltage(V),Current(mA),Current(A),Power(W=J/s),Energy (J),
,,,,,,
16:54:45,5.74,0.4,0.0004,0.002296,0.13776,
,,,0,0,0,
16:55:49,5.73,0.4,0.0004,0.002292,0.13752,
,,,0,0,0,
16:56:52,5.7,0.4,0.0004,0.00228,0.1368,
,,,0,0,0,
16:57:55,5.64,0.3,0.0003,0.001692,0.10152,
,,,0,0,0,
16:58:59,5.68,0.3,0.0003,0.001704,0.10224,
,,,0,0,0,
17:00:02,5.64,0.4,0.0004,0.002256,0.13536,
,,,0,0,0,
17:01:05,5.6,0.4,0.0004,0.00224,0.1344,
,,,0,0,0,
17:02:08,5.62,0.4,0.0004,0.002248,0.13488,
,,,0,0,0,
17:03:12,5.63,0.4,0.0004,0.002252,0.13512,
,,,0,0,0,
17:04:15,5.63,0.3,0.0003,0.001689,0.10134,
,,,0,0,0,
17:05:18,5.63,0.4,0.0004,0.002252,0.13512,
,,,0,0,0,
17:06:22,5.65,0.3,0.0003,0.001695,0.1017,
,,,0,0,0,
17:07:25,5.64,0.3,0.0003,0.001692,0.10152,
,,,0,0,0,
17:08:28,5.64,0.4,0.0004,0.002256,0.13536,
,,,0,0,0,
17:09:32,5.5,0.4,0.0004,0.0022,0.132,
,,,0,0,0,
17:10:35,5.49,0.3,0.0003,0.001647,0.09882,
,,,0,0,0,
17:11:38,5.46,0.3,0.0003,0.001638,0.09828,
,,,0,0,0,
17:12:41,5.47,0.3,0.0003,0.001641,0.09846,
,,,0,0,0,
17:13:45,5.48,0.3,0.0003,0.001644,0.09864,
,,,0,0,0,
17:14:48,5.49,0.3,0.0003,0.001647,0.09882,
,,,0,0,0,
17:15:51,5.48,0.3,0.0003,0.001644,0.09864,
,,,0,0,0,
17:16:55,5.64,0.3,0.0003,0.001692,0.10152,
,,,0,0,0,
17:17:58,5.63,0.3,0.0003,0.001689,0.10134,
,,,0,0,0,
17:19:01,5.64,0.4,0.0004,0.002256,0.13536,
,,,0,0,0,
17:20:05,5.64,0.3,0.0003,0.001692,0.10152,
,,,0,0,0,
17:21:08,5.67,0.3,0.0003,0.001701,0.10206,
,,,0,0,0,
17:22:11,5.54,0.4,0.0004,0.002216,0.13296,
,,,0,0,0,
17:23:14,5.66,0.3,0.0003,0.001698,0.10188,
,,,0,0,0,
17:24:18,5.66,0.4,0.0004,0.002264,0.13584,
,,,0,0,0,
17:25:21,5.67,0.3,0.0003,0.001701,0.10206,
,,,0,0,0,
17:26:24,5.67,0.3,0.0003,0.001701,0.10206,
,,,0,0,0,
17:27:28,5.68,0.4,0.0004,0.002272,0.13632,
,,,0,0,0,
17:28:31,5.66,0.3,0.0003,0.001698,0.10188,
,,,0,0,0,
17:29:34,5.66,0.3,0.0003,0.001698,0.10188,
,,,0,0,0,
17:30:38,5.65,0.3,0.0003,0.001695,0.1017,
,,,0,0,0,
17:31:41,5.65,0.3,0.0003,0.001695,0.1017,
,,,0,0,0,
17:32:44,5.65,0.3,0.0003,0.001695,0.1017,
,,,0,0,0,
17:33:47,5.67,0.3,0.0003,0.001701,0.10206,
,,,0,0,0,
17:34:51,5.66,0.3,0.0003,0.001698,0.10188,
,,,0,0,0,
17:35:54,5.67,0.3,0.0003,0.001701,0.10206,
,,,0,0,0,
17:36:57,5.67,0.3,0.0003,0.001701,0.10206,
,,,0,0,0,
17:38:01,5.68,0.3,0.0003,0.001704,0.10224,
,,,0,0,0,
17:39:04,5.66,0.3,0.0003,0.001698,0.10188,
,,,0,0,0,
17:40:07,5.63,0.3,0.0003,0.001689,0.10134,
,,,0,0,0,
17:41:11,5.63,0.3,0.0003,0.001689,0.10134,
,,,0,0,0,
17:42:14,5.51,0.3,0.0003,0.001653,0.09918,
,,,0,0,0,
17:43:17,5.32,0.3,0.0003,0.001596,0.09576,
,,,0,0,0,
17:44:20,5.14,0.3,0.0003,0.001542,0.09252,
,,,0,0,0,
17:45:24,5.04,0.3,0.0003,0.001512,0.09072,
,,,0,0,0,
17:46:27,4.97,0.2,0.0002,0.000994,0.05964,
,,,0,0,0,
17:47:30,4.93,0.3,0.0003,0.001479,0.08874,
,,,0,0,0,
17:48:34,4.92,0.4,0.0004,0.001968,0.11808,
,,,0,0,0,
17:49:37,4.9,0.3,0.0003,0.00147,0.0882,
,,,,,5.76378,0.00160105
