Time,Voltage,Current
11:09:27,5.99,18.39
11:10:30,6.03,18.39
11:11:33,6.08,19.6
11:12:37,6.12,21.1
11:13:40,6.15,23.89
11:14:43,6.18,25.79
11:15:47,6.56,79.09
11:16:50,6.61,116.69
11:17:53,5.96,19.79
11:18:56,6.6,112.5
11:20:00,6.47,112.59
11:21:03,6.39,79.19
11:22:06,6.33,79.5
11:23:10,6.31,80.4
11:24:13,6.3,82.19
11:25:16,6.35,84
11:26:20,6.34,84
11:27:23,5.99,38.29
11:28:26,6.42,120.19
11:29:30,6.44,118.19
11:30:33,6.36,78.4
11:31:36,6.33,78.8
11:32:39,6.28,80
11:33:43,6.31,81.19
11:34:46,6.33,83.4
11:35:49,6.32,84.19
11:36:53,5.92,22.6
11:37:56,6.24,55.29
11:38:59,5.92,31.89
11:40:03,6.39,118.59
11:41:06,5.86,23.7
11:42:09,6.02,33
11:43:13,5.93,22.79
11:44:16,5.93,20.5
11:45:19,5.94,19.1
11:46:22,6.47,80.69
11:47:26,6.48,111.59
11:48:29,6.41,112.5
11:49:32,6.35,78.19
11:50:36,6.32,78.5
11:51:39,6.32,78.69
11:52:42,6.33,79.09
11:53:46,6.32,79.09
11:54:49,6.3,79.9
11:55:52,6.28,81.19
11:56:56,6.24,81.8
11:57:59,6.24,82.09
11:59:02,6.24,82.3
12:00:06,6.3,81.3
