Time,Voltage,Current
17:47:02,6.26,64.69
17:47:15,6.24,64.9
17:47:28,6.24,64.8
17:47:41,6.27,67.59
17:47:55,6.26,67.59
17:48:08,6.26,67.59
17:48:21,6.26,67.59
17:48:34,6.25,67.5
17:48:47,6.24,67.4
17:49:00,6.24,67.4
17:49:13,6.24,67.4
17:49:26,6.23,67.3
17:49:39,6.24,68.59
17:49:52,6.25,68.59
17:50:05,6.25,67.9
17:50:18,6.23,67.9
17:50:31,6.23,67.9
17:50:44,6.24,67.8
17:50:57,6.25,67.9
17:51:11,6.26,68.0
17:51:24,6.25,67.9
17:51:37,6.25,68.0
17:51:50,6.27,67.9
17:52:03,6.27,68.0
17:52:16,6.26,68.0
17:52:29,6.26,68.19
17:52:42,6.26,68.4
17:52:55,6.27,68.4
17:53:08,6.28,68.5
17:53:21,6.28,68.5
17:53:34,6.28,68.59
17:53:47,6.28,68.69
17:54:00,6.28,68.5
17:54:13,6.29,68.59
17:54:26,6.29,68.5
17:54:40,6.29,68.3
17:54:53,6.3,68.19
17:55:06,6.3,68.19
17:55:19,6.29,68.0
17:55:32,6.28,68.0
17:55:45,6.28,67.8
17:55:58,6.27,67.8
17:56:11,6.26,67.9
17:56:24,6.26,67.59
17:56:37,6.27,67.3
17:56:50,6.27,67.0
17:57:03,6.27,66.8
17:57:16,6.28,66.5
17:57:29,6.28,66.3
17:57:42,6.28,66.3
17:57:55,6.29,66.19
17:58:09,6.29,66.09
17:58:22,6.29,66.0
17:58:35,6.28,65.9
17:58:48,6.27,65.9
17:59:01,6.27,66.0
17:59:14,6.27,65.8
17:59:27,6.28,65.69
17:59:40,6.28,65.69
17:59:53,6.28,65.59
18:00:06,6.27,65.69
18:00:19,6.26,65.59
18:00:32,6.26,65.69
18:00:45,6.26,65.8
18:00:58,6.26,65.69
18:01:11,6.26,66.0
18:01:25,6.26,65.9
18:01:38,6.27,65.8
18:01:51,6.27,65.8
18:02:04,6.27,65.8
18:02:17,6.26,65.59
18:02:30,6.26,65.5
18:02:43,6.26,65.19
18:02:56,6.25,65.19
18:03:09,6.25,65.0
18:03:22,6.25,65.09
18:03:35,6.26,65.0
18:03:48,6.28,64.9
18:04:01,6.28,64.9
18:04:14,6.28,64.8
18:04:27,6.29,64.59
18:04:41,6.3,64.0
18:04:54,6.29,63.2
18:05:07,6.26,56.59
18:05:20,6.26,56.79
18:05:33,6.28,62.09
18:05:46,6.3,64.4
18:05:59,6.3,62.2
18:06:12,6.3,63.7
18:06:25,6.31,64.9
18:06:38,6.3,65.09
18:06:51,6.3,65.3
18:07:04,6.3,64.5
18:07:17,6.29,59.7
18:07:30,6.18,46.4
18:07:43,6.31,62.9
18:07:56,6.32,88.8
18:08:10,6.32,90.5
18:08:23,6.32,90.69
18:08:36,6.32,91.69
18:08:49,6.32,91.5
18:09:02,6.32,91.3
18:09:15,6.31,91.59
18:09:28,6.3,91.69
18:09:41,6.3,91.5
18:09:54,6.29,90.69
18:10:07,6.28,88.0
18:10:20,6.28,89.3
18:10:33,6.28,89.5
18:10:46,6.28,90.09
18:10:59,6.28,88.4
18:11:12,6.28,90.4
18:11:25,6.28,91.0
18:11:39,6.28,90.3
18:11:52,6.28,90.69
18:12:05,6.28,88.0
18:12:18,6.28,89.19
18:12:31,6.29,90.3
18:12:44,6.29,90.69
18:12:57,6.28,89.5
18:13:10,6.27,87.4
18:13:23,6.26,84.59
18:13:36,6.25,83.19
18:13:49,6.25,83.19
18:14:02,6.25,82.8
18:14:15,6.25,83.59
18:14:28,6.25,84.9
18:14:41,6.26,85.59
18:14:55,6.25,83.9
18:15:08,6.22,76.19
18:15:21,6.22,76.69
18:15:34,6.25,80.9
18:15:47,6.26,82.19
18:16:00,6.27,81.59
18:16:13,6.26,80.5
18:16:26,6.28,82.4
18:16:39,6.28,82.3
18:16:52,6.29,83.0
18:17:05,6.28,82.8
18:17:18,6.29,84.3
18:17:31,6.29,87.09
18:17:44,6.29,88.0
18:17:57,6.27,86.69
18:18:11,6.28,88.9
18:18:24,6.27,88.09
18:18:37,6.26,86.19
18:18:50,6.26,86.19
18:19:03,6.26,86.09
18:19:16,6.26,87.5
18:19:29,6.26,86.8
18:19:42,6.26,86.59
18:19:55,6.25,87.8
18:20:08,6.26,87.8
18:20:21,6.26,87.4
18:20:34,6.26,87.8
18:20:47,6.25,86.0
18:21:00,6.23,81.59
18:21:13,6.13,61.5
18:21:27,6.22,78.9
18:21:39,6.25,87.69
18:21:53,6.25,89.09
18:22:06,6.24,86.19
18:22:19,6.2,79.19
18:22:32,6.2,77.19
18:22:45,6.16,64.0
18:22:58,6.0,38.4
18:23:11,5.97,37.2
18:23:24,6.12,49.9
18:23:37,5.78,20.2
18:23:50,5.75,18.39
18:24:03,5.86,24.1
18:24:16,6.33,74.59
18:24:29,6.4,88.09
18:24:42,6.39,89.09
18:24:55,6.38,88.8
18:25:09,6.33,76.09
18:25:22,6.16,48.2
18:25:35,6.35,82.5
18:25:48,6.36,85.5
18:26:01,6.35,86.19
18:26:14,6.34,86.5
18:26:27,6.33,86.8
18:26:40,6.32,87.0
18:26:53,6.32,87.4
